Designator,Footprint,Quantity,Value,LCSC Part #
"D1_3, D1_2, D1",D_SOD-123,3,B5819W SL,C8598
"R1_3, R1_2, R1, R2_3, R2_2, R2",R_0603_1608Metric,6,5.1k,C23186
"U1_3, U1_2, U1",Xunpu C2856665 USBC Straddle Mount,3,USB_C_Receptacle,C2856665
