Designator,Footprint,Quantity,Value,LCSC Part #
"D1_12, D1_11, D1_10, D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1",D_SOD-123,12,B5819W SL,C8598
"R1_12, R1_11, R1_10, R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_12, R2_11, R2_10, R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2",R_0603_1608Metric,24,5.1k,C23186
"U1_12, U1_11, U1_10, U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",Xunpu C2856665 USBC Straddle Mount,12,USB_C_Receptacle,C2856665
